Cycle,a,b,c,d,e,f,g,h
82,1636.0514008512089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1636.064130368812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1636.0768596038226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1636.0895885562475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1636.1023172260927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1636.1150456133646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1636.1277737180694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1636.1405015402136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1636.1532290798032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1636.1659563368446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1636.178683311344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1636.1914100033077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1636.204136412742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1636.216862539653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1636.2295883840472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1636.2423139459308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1636.2550392253102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1636.2677642221913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1636.2804889365807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1636.2932133684847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1636.3059375179093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1636.318661384861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1620.3312601707312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1620.3438586769114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1620.356456903408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1620.3690548502268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1620.3816525173745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
