cycle,first(list<ville>(ville) where (each.compte_ville = 0)).S,first(list<ville>(ville) where (each.compte_ville = 0)).I,first(list<ville>(ville) where (each.compte_ville = 0)).Le,first(list<ville>(ville) where (each.compte_ville = 0)).Lf,first(list<ville>(ville) where (each.compte_ville = 0)).T,first(list<ville>(ville) where (each.compte_ville = 0)).K,first(list<ville>(ville) where (each.compte_ville = 0)).R1,first(list<ville>(ville) where (each.compte_ville = 0)).R2
0,1661.768713282634,1.2142488427987885,6.806467012549687,6.126916423137088,7.5876405100677715,8.067667551133844,-2.889558067604314,3.2061155401127532
1,1645.1954200807324,1.7603132560006052,9.437844075793965,-2.121885700511474,-0.5979482687969401,8.930473563507158,5.037953719905883,-3.366946575030071
2,1650.0524932129954,-1.2104028311660828,-0.7321502571882417,1.6472485721207264,7.252689349463578,-4.71575898514136,9.200816308302448,-3.9105769336362184
3,1658.374869746539,5.745173762672238,-2.7845205655371483,-3.296481089851191,2.2877617145986413,-2.418658652576147,-3.0697581202511106,-3.7817649301336407
4,1656.3970370411298,0.9118855502911263,7.866959270885601,2.585186791836341,-0.8944356318070446,-0.7128810793785495,7.333669325715055,-0.1866623568943976
5,1654.1820125231175,-0.7061421603568983,8.500855391004517,6.168197074056976,7.648397764442599,4.539079774694909,9.996774356027244,4.753327688907164
6,1645.066051203598,1.4029339860530827,2.944635947033399,2.288800088098438,4.418429197605899,-3.223843482118576,-3.523690340418809,-2.9172104534703514
7,1650.1375822142004,5.656133503974119,10.583657337457737,7.145389192996028,6.640217537104541,-0.26620460206293545,6.852828447040451,-4.560722117433801
8,1658.9745044805559,1.3360985914194994,5.1432020796373585,1.2065378626832783,-0.34123335670710836,-0.1732218567266748,2.5840208733799757,4.358721854428125
9,1652.5888151068707,10.418342387172935,6.29132669295143,9.664344170366858,2.2461652556681897,5.8396860099612145,5.886479601067703,-2.1719222582420095
10,1645.9776795760445,1.4868261339182314,7.928533183661955,-2.4636450853902083,2.6542697382819807,-2.070879487908673,1.1706804287701338,5.090082020896101
11,1655.0307527304772,2.4072972714817533,11.44701691198274,7.300323350357378,6.532253883800926,-3.0068111891527614,1.0238530797938576,9.42846696892793
12,1654.4142528293587,2.7185236195374554,8.413481883412352,8.545582302879975,6.155355779250878,8.616441308486209,-2.073913928178598,2.6697727089991807
13,1653.6980010272396,6.367691185140297,0.12152305024797916,5.458942927600178,3.8608468807795844,4.833393882084365,7.303613288015149,3.7220049176979177
14,1647.2172593240805,-0.8193553381173384,1.8349772610509056,5.814567205062492,6.509979021174295,9.35619988321186,8.722306169494281,-3.3013369298454314
15,1644.5882595266708,1.0405765959725017,1.002766324215837,3.9422313173675994,-2.6416312826953554,7.919300819749385,-1.707340500019213,-3.620040030469277
16,1654.8033824205768,3.5857873977443697,0.18006588302627868,-0.2594053216721368,5.61010243855173,5.340895709802564,6.063033556018825,-2.8624547365691946
17,1651.7051170621874,9.85292725382471,7.025487237639393,-3.665173169933921,-0.7197041167694945,0.9951449692206809,0.4583568925196424,4.525315849273072
18,1648.9156306153948,8.263862463256489,5.400402940930517,-1.889274368058494,2.752555700107917,-4.635459888920516,-4.096137729277884,3.7025880200077936
19,1652.1633940475851,5.02359493006136,-1.528280966049215,9.41778546899713,6.1320724735376935,-2.4359635444954124,0.31317300825804484,-0.4788411362701728
20,1650.277820545364,-1.2050002249930682,10.561426813868414,8.371435789885089,-3.447910124662986,7.988738370476693,7.14550156023142,9.17849443872669
21,1650.51479883327,-2.417129148020637,7.5375846210954,9.336373749846686,6.4801537211405185,7.810731871393454,-2.8080940383709145,-0.5812641782899767
22,1651.8746177478197,8.832567591175025,6.239394851827189,-4.1743580761477315,3.836701782175695,0.2878689648794182,4.295417471479738,9.859621610903796
23,1659.1635551772754,0.7437968861669404,8.130943800037805,-0.16206184446354832,7.618886405118368,6.594745285602538,-3.9356070833095123,-2.472052183964119
24,1650.57871122744,1.8127012027331397,2.7339322504944037,3.8236084140251805,7.231362900940662,1.3329626975398372,10.043066904771054,4.460177305959191
25,1655.1977487712268,1.4813470130213489,7.960282671954994,7.650968147144259,6.651392932984948,-1.870780341025242,8.552580804257424,8.265066579292249
26,1656.7540885457465,5.269898723204579,3.150625614265194,4.188344686202437,2.6463489680240544,-3.075754663027207,5.45633656646592,2.654158318780278
27,1650.582739796099,2.601843517858227,1.2553430596978838,3.195977202131389,8.434519679023207,-3.343096120785421,1.214660697563732,4.062080589872991
28,1658.688328292506,3.5603390718703225,6.133994320840845,3.031847065518706,-3.9182406740496947,3.3402718207590096,9.359344672218318,3.8354170901672164
29,1657.6329654006843,5.904967484886692,4.785210179556682,0.06769013957545222,0.03108599982380767,6.097677453317866,-1.879099980092299,-2.2695597687033433
30,1649.7818291121418,-2.6521210484796693,8.17905487527619,-3.7886528758499907,9.565979975155235,3.976984165102497,0.4770111286400529,9.037102714286748
31,1647.9045895087822,-3.149573308694933,2.9194709036334587,-2.0729337399092334,4.544593575577875,5.094707368425948,-1.996699398530729,-4.201707600389059
