Cycle,a,b,c,d,e,f,g,h
0,1616.6666666666667,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1615.8730661627676,49.94983716386589,0.7979647356468488,0.00032763337294395,0.00004995760994919,0.00149872829847566,0.04234294752836735,0.01259018817014919
2,1599.0885529441778,49.899435707566234,1.5854507322312124,0.00130531634758448,0.00009983038644668,0.00299491159340038,0.08536648055076584,0.02535935131672797
3,1598.3052529706051,49.84919519650083,2.3700711870457947,0.00292680515440035,0.00014961834939508,0.00448855048185234,0.12906452077343303,0.03830589149155235
4,1597.523162251335,49.79911558368977,3.1518361614662007,0.00518898883739317,0.00019932171834821,0.00597965155044641,0.1734347381815026,0.05142921280878339
5,1596.7422768040904,49.74919682042765,3.930755687113742,0.00808876837497449,0.00024894071266016,0.00746822137980491,0.218474811624107,0.06472872163379463
6,1595.9625926550348,49.699438856303054,4.70683976591725,0.01162305664141716,0.00029847555148368,0.00895426654451038,0.2641824287789001,0.07820382657413592
7,1595.184105838773,49.64984163921793,5.4800983701750345,0.01578877836840336,0.00034792645376863,0.01043779361305883,0.31055528611670913,0.09185393847053039
8,1594.4068123983527,49.60040511540686,6.250541442616987,0.02058287010666904,0.00039729363826046,0.01191880914781368,0.3575910888663163,0.10567847038790455
9,1593.6307083852657,49.551129229456166,7.018178896466825,0.02600228018774496,0.00044657732349868,0.01339731970496027,0.4052875509793692,0.11967683760645155
10,1592.8557898594486,49.50201392432296,7.783020615504475,0.03204396868579419,0.00049577772781537,0.01487333183446103,0.4536423950954203,0.1338484576127273
11,1592.0820528892825,49.45305914135401,8.545076454128596,0.03870490737954623,0.00054489506933371,0.01634685208001115,0.5026533525070959,0.14819275009077973
12,1591.3094935515946,49.40426482030454,9.304356237419222,0.04598207971432753,0.0005939295659665,0.01781788697899498,0.5523181631253923,0.16270913691331096
13,1590.5381079316571,49.355630899356875,10.060869761200543,0.05387248076418855,0.00064288143541476,0.01928644306244288,0.6026345754451016,0.17739704213287222
14,1589.7678921231868,49.30715731513897,10.814626792103807,0.06237311719412737,0.00069175089516629,0.02075252685498874,0.6536003465103648,0.1922558919730917
15,1588.998842228345,49.25884400274287,11.565637067630355,0.0714810072224098,0.00074053816249427,0.0222161448748281,0.7052132418803538,0.20728511481993517
16,1588.2309543577364,49.21069089574296,12.313910296214758,0.08119318058298584,0.00078924345445589,0.0236773036336768,0.7574710355950801,0.22248414121299928
17,1587.4642246304081,49.162697926214186,13.059456157288079,0.0915066784880027,0.00083786698789101,0.02513600963673019,0.8103715101413314,0.23785240383683745
18,1586.6986491738483,49.11486502475014,13.80228430134125,0.10241855359041419,0.00088640897942077,0.02659226938262301,0.8639124564187357,0.2533893375123185
19,1585.9342241239842,49.067192120480975,14.542404349988566,0.11392586994668653,0.00093486964544632,0.02804608936338971,0.9180916737059525,0.2690943791880177
20,1585.1709456251806,49.019679141091274,15.279825896031268,0.12602570297960078,0.00098324920214751,0.02949747606442544,0.9729069696269907,0.28496696793164045
21,1584.4088098302375,48.97232601283776,16.01455850352124,0.13871513944115105,0.00103154786548158,0.03094643596444754,1.0283561601176527,0.30100654492147805
22,1583.6478129003879,48.92513266056692,16.74661170782482,0.15199127737553958,0.00107976585118192,0.03239297553545762,1.084437069392105,0.3172125534378962
23,1582.887951005295,48.878099007732494,17.475995015686685,0.16585122608226815,0.00112790337475681,0.03383710124270415,1.1411475299095764,0.3335844388548559
24,1582.1292203230498,48.83122497641284,18.20271790529386,0.1802921060793251,0.00117596065148819,0.03527881954464564,1.1984853823411785,0.3501216486314657
25,1581.3716170401676,48.78451048732825,18.92678982633979,0.19531104906646934,0.00122393789643048,0.03671813689291437,1.2564484755368563,0.3668236323035674
26,1580.6151373515845,48.73795545985806,19.648220200088524,0.21090519788861004,0.00127183532440935,0.03815505973228061,1.315034666492461,0.3836898414753527
27,1579.8597774606544,48.69155981205771,20.36701841943899,0.2270717064992827,0.00131965315002058,0.03958959450061741,1.3742418203169482,0.4007197298110126
28,1579.105533579145,48.6453234606757,21.083193848989332,0.24380773992422144,0.00136739158762887,0.04102174762886599,1.4340678101997033,0.4179127530264189
29,1578.3524019272336,48.59924632117038,21.796755825101354,0.2611104742250268,0.00141505085136672,0.04245152554100148,1.494510517377988,0.43526836888083653
30,1577.6003787335032,48.55332830772667,22.50771365596502,0.2789770964629301,0.00146263115513331,0.0438789346539994,1.5555678311045134,0.45278603716866894
31,1576.8494602349379,48.5075693332727,23.21607662166306,0.29740480466265384,0.00151013271259342,0.04530398137780253,1.6172376486151379,0.4704652197112349
32,1576.0996426769182,48.46196930949623,23.921853974235614,0.31639080777636724,0.00155755573717628,0.04672667211528829,1.6795178750966857,0.48830538034857646
33,1575.350922313216,48.41652814686111,24.625054937744984,0.33593232564773845,0.00160490044207456,0.04814701326223676,1.742406423654892,0.5063059849312991
34,1574.6032954059901,48.371245754623494,25.325688708340433,0.35602658897608214,0.0016521670402433,0.04956501120729907,1.8059012152824692,0.5244665013124433
35,1573.8567582257804,48.32612204084804,26.02376445432305,0.376670839280603,0.00169935574439888,0.05098067233196635,1.8700001788272982,0.5427863993393878
36,1573.111307051502,48.28115691242397,26.719291316210697,0.3978623288647349,0.00174646676701798,0.05239400301053925,1.9347012509607402,0.5612651508457834
37,1572.3669381704408,48.236350275080994,27.412278406802994,0.4195983207805752,0.0017935003203366,0.05380500961009786,2.0000023761460715,0.5799022296435195
38,1571.6236478782462,48.19170203340519,28.102734811246393,0.44187608879341594,0.00184045661634907,0.05521369849047218,2.0659015066070427,0.5986971115147207
39,1570.8814324789257,48.147212090854715,28.790669587099266,0.46469291734636853,0.0018873358668071,0.05662007600421309,2.1323966022965557,0.6176492742037752
40,1570.1402882848386,48.10288034977546,29.47609176439709,0.48804610152508565,0.00193413828321879,0.05802414849656375,2.199485630865464,0.636758197409394
41,1569.4002116166894,48.058706711416555,30.15901034571766,0.5119329470225775,0.00198086407684772,0.05942592230543161,2.2671665676314965,0.6560233627767011
42,1568.6611988035208,48.01469107594582,30.83943430624636,0.5363507701041237,0.00202751345871202,0.06082540376136075,2.3354373955482983,0.6754442538893557
43,1567.9232461827075,47.97083334246506,31.51737259384148,0.5612968975722803,0.00207408663958349,0.06222259918750481,2.404296105174595,0.6950203562617034
44,1567.1863500999484,47.9271334090253,32.19283412909956,0.5867686667319818,0.00212058382998668,0.0636175148996004,2.4737406946434746,0.7147511573309597
45,1566.4505069092597,47.88359117264188,32.86582780542083,0.612763425355739,0.00216700524019803,0.06501015720594086,2.543769169631795,0.7346361464494243
46,1565.7157129729674,47.84020652930948,33.536362489074605,0.6392785316489302,0.00221335108024502,0.06640053240735068,2.614379543329703,0.7546748148767243
47,1564.9819646616997,47.796979374017006,34.20444701926481,0.6663113542151888,0.00225962155990534,0.06778864679716018,2.6855698364102785,0.7748666557720902
