Cycle,a,b,c,d,e,f,g,h
23,9839.36914367226,48.878099007732494,17.475995015686685,0.16585122608226815,0.00112790337475681,0.03383710124270415,1.1411475299095764,0.3335844388548559
24,9838.67476839319,48.83122497641284,18.20271790529386,0.1802921060793251,0.00117596065148819,0.03527881954464564,1.1984853823411785,0.3501216486314657
25,9837.98151908481,48.78451048732825,18.92678982633979,0.19531104906646934,0.00122393789643048,0.03671813689291437,1.2564484755368563,0.3668236323035674
26,9837.289391942084,48.73795545985806,19.648220200088524,0.21090519788861004,0.00127183532440935,0.03815505973228061,1.315034666492461,0.3836898414753527
27,9836.598383168404,48.69155981205771,20.36701841943899,0.2270717064992827,0.00131965315002058,0.03958959450061741,1.3742418203169482,0.4007197298110126
28,9835.908488975561,48.6453234606757,21.083193848989332,0.24380773992422144,0.00136739158762887,0.04102174762886599,1.4340678101997033,0.4179127530264189
29,9835.219705583773,48.59924632117038,21.796755825101354,0.2611104742250268,0.00141505085136672,0.04245152554100148,1.494510517377988,0.43526836888083653
30,9834.53202922165,48.55332830772667,22.50771365596502,0.2789770964629301,0.00146263115513331,0.0438789346539994,1.5555678311045134,0.45278603716866894
31,9833.845456126204,48.5075693332727,23.21607662166306,0.29740480466265384,0.00151013271259342,0.04530398137780253,1.6172376486151379,0.4704652197112349
32,9833.159982542857,48.46196930949623,23.921853974235614,0.31639080777636724,0.00155755573717628,0.04672667211528829,1.6795178750966857,0.48830538034857646
33,9832.475604725403,48.41652814686111,24.625054937744984,0.33593232564773845,0.00160490044207456,0.04814701326223676,1.742406423654892,0.5063059849312991
34,9831.79231893604,48.371245754623494,25.325688708340433,0.35602658897608214,0.0016521670402433,0.04956501120729907,1.8059012152824692,0.5244665013124433
35,9831.110121445334,48.32612204084804,26.02376445432305,0.376670839280603,0.00169935574439888,0.05098067233196635,1.8700001788272982,0.5427863993393878
36,9830.429008532235,48.28115691242397,26.719291316210697,0.3978623288647349,0.00174646676701798,0.05239400301053925,1.9347012509607402,0.5612651508457834
37,9829.74897648406,48.236350275080994,27.412278406802994,0.4195983207805752,0.0017935003203366,0.05380500961009786,2.0000023761460715,0.5799022296435195
38,9829.07002159649,48.19170203340519,28.102734811246393,0.44187608879341594,0.00184045661634907,0.05521369849047218,2.0659015066070427,0.5986971115147207
39,9828.392140173562,48.147212090854715,28.790669587099266,0.46469291734636853,0.0018873358668071,0.05662007600421309,2.1323966022965557,0.6176492742037752
40,9827.71532852767,48.10288034977546,29.47609176439709,0.48804610152508565,0.00193413828321879,0.05802414849656375,2.199485630865464,0.636758197409394
41,9827.03958297955,48.058706711416555,30.15901034571766,0.5119329470225775,0.00198086407684772,0.05942592230543161,2.2671665676314965,0.6560233627767011
42,9826.364899858274,48.01469107594582,30.83943430624636,0.5363507701041237,0.00202751345871202,0.06082540376136075,2.3354373955482983,0.6754442538893557
43,9825.691275501253,47.97083334246506,31.51737259384148,0.5612968975722803,0.00207408663958349,0.06222259918750481,2.404296105174595,0.6950203562617034
